-119 301 
-123 323 

-846 -637 
-799 -619 

564 101 
560 106 

-153 365 
-163 375 

-156 -786 
-204 -758 

333 912 
329 874 

258 20 
246 9 

678 194 
660 208 

-464 -182 
-456 -156 

134 -342 
112 -329 

43 159 
55 164 

-536 -312 
-557 -284 

-244 89 
-230 105 

187 39 
198 46 

651 38 
673 56 

-452 542 
-469 570 

718 58 
673 56 

-611 -74 
-603 -43 

123 601 
117 589 

75 619 
61 622 

-589 -65 
-589 -46 

-185 -245 
-195 -235 

-831 -329 
-890 -312 

38 -574 
33 -584 

742 796 
697 800 

256 -420 
235 -420 

-219 -333 
-193 -303 

380 481 
330 501 

147 85 
131 78 

833 385 
846 429 

112 991 
180 926 

256 -95 
264 -74 

-275 5 
-254 24 

265 -112 
281 -117 

569 65 
560 106 

-234 243 
-224 231 

-581 -198 
-587 -203 

-394 353 
-398 360 

113 -164 
118 -176 

-310 524 
-318 516 

181 -338 
174 -359 

-76 -203 
-75 -208 

324 -475 
302 -469 

-473 -341 
-489 -358 

53 278 
56 276 

534 -242 
536 -219 

70 -139 
70 -160 

671 218 
660 208 

-709 -274 
-711 -308 

101 -359 
106 -383 

51 142 
57 143 

-347 -21 
-348 -30 

417 -285 
393 -277 

-60 394 
-56 400 

367 -316 
391 -324 

-690 12 
-683 25 

-751 -773 
-707 -745 

-568 -428 
-573 -417 

569 -1 
552 13 

-396 -858 
-448 -830 

493 -317 
474 -326 

279 -503 
273 -498 

241 -123 
204 -110 

133 -282 
151 -273 

289 -465 
302 -469 

10 -250 
-2 -255 

-441 873 
-456 890 

183 -616 
185 -624 

935 698 
944 728 

-358 72 
-346 60 

689 289 
719 277 

120 -112 
109 -118 

356 194 
363 199 

-621 -132 
-611 -108 

463 203 
446 207 

-344 -507 
-333 -500 

-490 634 
-524 632 

416 -473 
430 -481 

-150 -258 
-167 -273 

203 -597 
185 -624 

-205 -222 
-221 -220 

151 86 
153 65 

-569 192 
-533 219 

-208 16 
-203 9 

-196 -164 
-203 -161 

333 -911 
307 -876 

412 -18 
411 -6 

233 -323 
244 -332 

365 -412 
349 -449 

-44 -734 
-64 -719 

22 442 
3 468 

-617 -258 
-633 -260 

520 -240 
536 -219 

-645 417 
-610 378 

12 -138 
-22 -146 

934 80 
887 97 

0 159 
-8 166 

421 -902 
436 -891 

547 -257 
564 -243 

-334 -153 
-357 -166 

214 179 
205 159 

383 -612 
387 -590 

229 373 
225 349 

50 -459 
69 -442 

130 -319 
112 -329 

-126 -489 
-113 -476 

292 -66 
293 -54 

156 -44 
162 -56 

230 -184 
250 -172 

-133 -638 
-150 -628 

-271 -253 
-265 -256 

564 -114 
598 -148 

-962 -38 
-946 14 

-229 347 
-240 304 

-305 571 
